,Unnamed: 0.1,Unnamed: 0,location,hotel_url,hotel_name,hotel_rating,hotel_description_short,Latitude_Longitude,latitude_x,longitude_x,hotel_description_long,city_id,city_name,latitude_y,longitude_y,Weather trend next 8 days,Precipitation next 8 days (in mm),Average temperature next 8 days (in Celsius),Average temperature felt next 8 days (in Celsius),Ranking (Precipitation then Temperature),Ranking (cities from nicest conditions to worst)
0,0,0,Bayeux,https://www.booking.com/hotel/fr/centre-historique-lumineux-parking-gratuit.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from=searchresults#hotelTmpl,FREEDOM APPART - CENTRE HISTORIQUE - LUMINEUX - Bayeux,"9,1",Hébergement géré par un particulier,"49.27814786,-0.70626530",49.27814786,-0.7062653,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement FREEDOM APPART - CENTRE HISTORIQUE - LUMINEUX - Bayeux ! Connectez-vous pour économiser.Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, le FREEDOM APPART - CENTRE HISTORIQUE - LUMINEUX - Bayeux est un hébergement situé à Bayeux, à seulement quelques pas de la cathédrale Notre-Dame de Bayeux et à 400 mètres du musée Baron Gérard.Cet appartement comprend 3 chambres, une télévision à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un lave-vaisselle. Les serviettes et le linge de lit sont fournis.Vous séjournerez à proximité du musée de la Tapisserie de Bayeux, du musée de la bataille de Normandie et du jardin botanique de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 31 km. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
1,1,1,Bayeux,https://www.booking.com/hotel/fr/saint-patrice.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from=searchresults#hotelTmpl,Hôtel Le Saint Patrice,"8,4","L’Hôtel Le Saint Patrice vous accueille à Bayeux, à moins de 400 mètres de la cathédrale Notre-Dame et à 800 mètres du musée Baron Gérard. ","49.27981023,-0.71067492",49.27981023,-0.71067492,"L’Hôtel Le Saint Patrice vous accueille à Bayeux, à moins de 400 mètres de la cathédrale Notre-Dame et à 800 mètres du musée Baron Gérard. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble des locaux. Cet hôtel possède des chambres familiales.Toutes les chambres sont dotées d’une télévision à écran plat, d’un bureau et d’une salle de bains privative. Les logements comportent une armoire.Le matin, l'Hôtel Le Saint Patrice sert un petit-déjeuner américain.Vous séjournerez à proximité de lieux d'intérêt tels que le musée de la Tapisserie de Bayeux, le jardin botanique et le musée de la Bataille de Normandie. L'aéroport de Caen-Carpiquet, le plus proche, est situé à 31 km de l'Hôtel Le Saint Patrice. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
2,2,2,Bayeux,https://www.booking.com/hotel/fr/le-manoir-des-doyens.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from=searchresults#hotelTmpl,Le Manoir des Doyens,"8,9",Hébergement géré par un particulier,"49.26616863,-0.71424276",49.26616863,-0.71424276,"Situé à Saint-Loup-Hors, à 20 minutes à pied du centre de Bayeaux, l'établissement Le Manoir des Doyens occupe un bâtiment historique qui appartenait autrefois à la cathédrale du Doyen de Bayeux. Il a également utilisé un hôpital de campagne lors du débarquement du Jour J. L'établissement possède un jardin et un étang à carpes.Leur salle de bains privative est pourvue d'articles de toilette et d'un sèche-cheveux. Une connexion Wi-Fi est disponible gratuitement dans toutes les chambres.Le Manoir des Doyens sert un petit-déjeuner continental. Toutes les chambres disposent d'un plateau/bouilloire.Vous pourrez vous détendre et pique-niquer sur le terrain de l'établissement et nourrir la carpe de l'étang. Vous bénéficierez également d'un accès gratuit au musée du jour J sur place.Caen se trouve à 31 km. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 27 km. Le ferry d'Ouistreham se trouve à 44 km. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
3,3,3,Bayeux,https://www.booking.com/hotel/fr/novotel.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Novotel Bayeux,"7,8","Le Novotel Bayeux est situé entre Caen et Cherbourg, en Normandie. Il est à 1 km seulement de la célèbre Tapisserie de Bayeux et du centre historique de la ville. ","49.28176922,-0.71848869",49.28176922,-0.71848869,"Le Novotel Bayeux est situé entre Caen et Cherbourg, en Normandie. Il est à 1 km seulement de la célèbre Tapisserie de Bayeux et du centre historique de la ville.Modernes et confortables, les chambres sont équipées d'une salle de bains privative contemporaine, d'une connexion Wi-Fi et de la climatisation.L'hôtel propose un restaurant, un bar, un parking, une piscine et un jardin. Les clients peuvent utiliser l'espace affaires dans le hall d'accueil, comprenant un accès Internet gratuit.Deux enfants maximum (jusqu'à 15 ans) peuvent séjourner gratuitement en partageant 1 chambre avec leurs parents.Le Novotel Bayeux est situé à proximité des plages du débarquement. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
4,4,4,Bayeux,https://www.booking.com/hotel/fr/hotelduluxembourg.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Grand Hôtel du Luxembourg et La Table du Grand Luxembourg,"7,8","Occupant une demeure de caractère du XVIIe siècle, le Grand Hôtel du Luxembourg et La Table du Grand Luxembourg a été converti en un charmant hôtel doté d’un restaurant gastronomique et d’une piscine...","49.27842191,-0.70329666",49.27842191,-0.70329666,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Grand Hôtel du Luxembourg et La Table du Grand Luxembourg ! Connectez-vous pour économiser.Occupant une demeure de caractère du XVIIe siècle, le Grand Hôtel du Luxembourg et La Table du Grand Luxembourg a été converti en un charmant hôtel doté d’un restaurant gastronomique et d’une piscine extérieure chauffée ouverte toute l’année. L’établissement bénéficie d’un emplacement idéal dans le centre de Bayeux, à proximité du musée de la tapisserie.Les chambres du Grand Hôtel Le Luxembourg et La Table du Grand Luxembourg sont confortables et bien équipées avec des installations modernes, dont une télévision par satellite.Le restaurant gastronomique La Table du Grand Luxembourg sert une cuisine française traditionnelle.Un nombre limité de places de stationnement payantes est disponible. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
5,5,5,Bayeux,https://www.booking.com/hotel/fr/particulier-quot-le-clos-de-la-croix-quot.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hôtel particulier ""le clos de la croix""","9,8","Offrant une vue sur son jardin, l'Hôtel particulier ""le clos de la croix"" est situé à Bayeux. Il propose un salon commun, un jardin et une terrasse. ","49.27796400,-0.70167700",49.277964,-0.701677,"Offrant une vue sur son jardin, l'Hôtel particulier ""le clos de la croix"" est situé à Bayeux. Il propose un salon commun, un jardin et une terrasse. Vous bénéficierez gratuitement d'une connexion Wi-Fi dans l'ensemble des locaux.Leur salle de bains privative est pourvue d'une douche, d'un sèche-cheveux et d'articles de toilette gratuits.Cette chambre d'hôtes sert un petit-déjeuner continental.Vous séjournerez à proximité du musée Baron Gérard, de la cathédrale Notre-Dame de Bayeux et du musée de la Tapisserie de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 31 km. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
6,6,6,Bayeux,https://www.booking.com/hotel/fr/appartement-l-39-etoile.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from=searchresults#hotelTmpl,appartement l'étoile,"9,6","Doté d'un court de tennis, l'appartement l'étoile propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur la ville à Bayeux. Vous aurez accès au court de squash. ","49.27893640,-0.70770880",49.2789364,-0.7077088,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement appartement l'étoile ! Connectez-vous pour économiser.Doté d'un court de tennis, l'appartement l'étoile propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur la ville à Bayeux. Vous aurez accès au court de squash.Cet appartement comprend 2 chambres, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un lave-vaisselle et d'un micro-ondes. Les serviettes et le linge de lit sont fournis.Lors de votre séjour, vous pourrez profiter d'un salon commun sur place et faire du vélo et de la randonnée dans les environs.Vous séjournerez à proximité de la cathédrale Notre-Dame de Bayeux, du musée Baron Gérard et du musée de la Tapisserie de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 31 km. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
7,7,7,Bayeux,https://www.booking.com/hotel/fr/la-closerie-teranga.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,La Closerie Teranga,"8,9",Hébergement géré par un particulier,"49.27804172,-0.70187662",49.27804172,-0.70187662,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Closerie Teranga ! Connectez-vous pour économiser.Dotée d'un jardin et d'un barbecue, La Closerie Teranga propose un hébergement à Bayeux avec une connexion Wi-Fi gratuite et une vue sur la ville. Occupant un bâtiment datant du XVIIIe siècle, cette maison de vacances se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée, le vélo et le billard.Cette maison de vacances comprend 4 chambres, 2 salles de bains, du linge de lit, des serviettes, une télévision à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.Vous séjournerez à proximité du musée Baron Gérard, de la cathédrale Notre-Dame de Bayeux et du musée de la tapisserie de Bayeux. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 31 km. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
8,8,8,Bayeux,https://www.booking.com/hotel/fr/la-naomath.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"La Naomath - Maison d'hôtes, Hébergement insolite & Gîte","8,3","Situé à seulement 6 km du centre de Bayeux, la chambre d'hôtes La Naomath - Maison d'hôtes, Hébergement insolite & Gîte propose des logements avec petit-déjeuner installés dans une maison en pierre...","49.24770809,-0.65629363",49.24770809,-0.65629363,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Naomath - Maison d'hôtes, Hébergement insolite & Gîte ! Connectez-vous pour économiser.Situé à seulement 6 km du centre de Bayeux, la chambre d'hôtes La Naomath - Maison d'hôtes, Hébergement insolite & Gîte propose des logements avec petit-déjeuner installés dans une maison en pierre restaurée, un gîte indépendant et une cabane entourée de jardins bien entretenus. Vous bénéficierez gratuitement d'une connexion Wi-Fi ainsi que d'un parking privé.Affichant une décoration dans des tons neutres, les chambres comportent du parquet ciré et une salle de bains privative pourvue d'une douche ainsi que de toilettes.Si vous séjournez dans les chambres, un petit-déjeuner gratuit vous sera servi tous les matins par les propriétaires dans la salle à manger ou dans le jardin en été.Si vous séjournez dans le gîte, vous trouverez des épiceries et des restaurants dans le centre de Bayeux.Vous pourrez rejoindre plusieurs musées de la Seconde Guerre mondiale ainsi que les sites du débarquement en 25 minutes en voiture. L'établissement La Naomath est implanté à 8 minutes de route du musée de la tapisserie de Bayeux et de la gare de la ville. La ville de Caen est, quant à elle, à 20 km. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
9,9,9,Bayeux,https://www.booking.com/hotel/fr/villa-camelia-bayeux.fr.html?label=gen173nr-1DCAEoggI46AdIM1gEaE2IAQGYAQ24AQfIAQzYAQPoAQGIAgGoAgO4AuyYwpQGwAIB0gIkODExM2E0ZjMtNzgzZS00NDg2LTllZTItOTQ3MjQwZjhjZDhj2AIE4AIB&sid=318bebf61bd36e4cdf8b55a0d0f1f93c&aid=304142&ucfs=1&arphpl=1&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=92013d6d2e12057a&srepoch=1653813851&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Villa Camélia,"8,8",Hébergement géré par un particulier,"49.27992250,-0.71092490",49.2799225,-0.7109249,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Villa Camélia ! Connectez-vous pour économiser.Située à Bayeux, à 400 mètres de la cathédrale Notre-Dame, la Villa Camélia dispose d'un balcon, d'un jardin et d'une connexion Wi-Fi gratuite. Il se trouve à 800 mètres du musée Baron Gérard et assure un service de concierge.La villa comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par satellite à écran plat, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur le jardin.Vous pourrez profiter d'un barbecue et d'une terrasse sur place et faire du vélo dans les environs.Vous séjournerez à proximité du musée de la Tapisserie de Bayeux, du jardin botanique de Bayeux et du musée de la bataille de Normandie. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 31 km. ",2.0,Bayeux,49.2764624,-0.7024738,légère pluie,3.2300000000000004,13.9225,13.25625,"(4.0, 29.0)",4.0
